Disney_Movie,Disney_Rating,Disney_Genre,Disney_Tv_Ratings,Year,Runtime
Muppets Most Wanted,6.4,"Crime, Kids & Family, Comedy, Action & Adventure",PG,2014,1h 47min
Freaky Friday,3.8,"Fantasy, Comedy",G,2018,1h 30min
Wolfgang,6.9,Documentary,N/A,2021,1h 18min
Phineas and Ferb: The Movie: Candace Against the Universe,7.1,"Comedy, Science-Fiction, Fantasy, Action & Adventure, Animation, Kids & Family, Mystery & Thriller",G,2020,1h 26min
Youngstown Boys,7.3,Documentary,N/A,2013,1h 43min
Survive and Advance,N/A,Documentary,N/A,2013,1h 30min
Christmas ...Again?!,N/A,"Kids & Family, Comedy, Fantasy",G,2021,1h 34min
Kitbull,N/A,Drama,PG,2019,9min
Saving Mr. Banks,7.5,"Comedy, Drama, Music & Musical",PG-13,2013,2h 6min
Miraculous World : New York – United HeroeZ,N/A,"Animation, Fantasy, Action & Adventure",PG,2020,52min
Back to the Titanic,6.2,Documentary,PG,2020,45min
700 Sharks,6.7,Documentary,N/A,2018,1h 32min
Maleficent: Mistress of Evil,6.6,"Fantasy, Action & Adventure, Kids & Family",PG,2019,1h 59min
The Jungle Book,7.4,"Drama, Kids & Family, Fantasy, Comedy, Animation, Action & Adventure",PG,2016,1h 47min
Shark Beach With Chris Hemsworth,6.6,Documentary,PG-13,2021,44min
How to Build a Better Boy,5.3,"Science-Fiction, Comedy, Kids & Family",G,2014,1h 30min
Nona,N/A,Animation,N/A,2021,7min
Tini: The New Life of Violetta,5.2,"Comedy, Drama, Kids & Family, Music & Musical, Made in Europe",G,2016,1h 35min
Piper,N/A,"Kids & Family, Animation",G,2016,6min
Safety,6.8,"Kids & Family, Drama, History, Sport",PG,2020,2h 2min
Bao,N/A,Animation,G,2018,8min
Mars: One Day on the Red Planet,7.0,Documentary,N/A,2020,1h 28min
The Biggest Little Farm: The Return,7.2,Documentary,N/A,2022,30min
The Magic Maker,4.9,Documentary,PG,2021,43min
Alvin and the Chipmunks: The Road Chip,4.9,"Comedy, Fantasy, Music & Musical, Animation, Kids & Family",PG,2015,1h 26min
Ralph Breaks the Internet,7.0,"Animation, Drama, Comedy, Kids & Family, Fantasy, Science-Fiction",PG,2018,1h 52min
Dumbo,6.3,"Fantasy, Kids & Family",PG,2019,2h 10min
Jingle All the Way 2,N/A,"Kids & Family, Comedy",PG,2014,1h 33min
Lou,N/A,Fantasy,G,2017,7min
Olaf's Frozen Adventure,N/A,Comedy,G,2017,23min
Lady and the Tramp,6.2,"Romance, Drama, Animation, Comedy, Kids & Family",PG,2019,1h 43min
Marvel One-Shot: All Hail the King,N/A,"Mystery & Thriller, Action & Adventure, Fantasy",PG-13,2014,14min
Marvel Rising: Heart of Iron,4.7,"Science-Fiction, Action & Adventure, Animation",N/A,2019,44min
Monsters University,7.2,"Animation, Kids & Family, Comedy, Fantasy, Horror",G,2013,1h 44min
Polar Bear,6.9,Documentary,PG,2022,1h 24min
Cars 3,6.7,"Action & Adventure, Comedy, Kids & Family, Animation, Sport, Fantasy, Drama",G,2017,1h 42min
King Shakir Recycle,5.6,"Comedy, Kids & Family, Animation",N/A,2022,1h 32min
The Good Dinosaur,6.7,"Animation, Kids & Family, Fantasy, Comedy, Drama",PG,2015,1h 39min
Expedition Amelia,7.2,"History, Documentary",N/A,2019,1h 35min
Dory's Reef Cam,3.6,"Animation, Comedy, Kids & Family",G,2020,3h 2min
Mickey and Minnie Wish Upon a Christmas,5.6,"Animation, Comedy, Kids & Family",G,2021,47min
Iron Man & Hulk: Heroes United,N/A,"Animation, Action & Adventure",PG,2013,1h 11min
In the Footsteps of Elephant,7.2,"Documentary, Kids & Family",G,2020,1h 28min
Frozen II,6.8,"Fantasy, Kids & Family, Animation, Action & Adventure, Comedy, Drama",PG,2019,1h 43min
42 to 1,N/A,Documentary,N/A,2018,51min
Z-O-M-B-I-E-S 3,5.4,"Science-Fiction, Romance, Kids & Family",G,2022,1h 28min
Riley's First Date?,N/A,Animation,G,2015,4min
Bears,7.3,"Documentary, Kids & Family",G,2014,1h 20min
Elephant,7.2,"Kids & Family, Documentary",G,2020,1h 26min
Feast,8.1,"Comedy, Drama, Horror",G,2014,6min
Science Fair,7.6,"Documentary, Action & Adventure, Drama, Fantasy, Science-Fiction",PG,2018,1h 31min
A Very Boy Band Holiday,6.5,Music & Musical,N/A,2021,42min
Alice Through the Looking Glass,N/A,"Action & Adventure, Kids & Family, Fantasy, Made in Europe",PG,2016,1h 53min
Pete's Dragon,6.7,"Fantasy, Comedy, Drama, Kids & Family, Action & Adventure",PG,2016,1h 42min
World's Biggest Great White Shark,6.4,"Reality TV, Documentary",PG-13,2019,44min
Little Giant,N/A,Documentary,PG,2016,44min
Petra: Secrets of the Ancient Builders,N/A,Documentary,G,2019,44min
It Was Always Me: Behind the Story,7.9,Documentary,N/A,2022,31min
Sharks That Eat Everything,N/A,Documentary,PG-13,2022,44min
Incredible! The Story of Dr. Pol,N/A,Documentary,PG,2015,44min
The Hidden Kingdoms of China,6.9,Documentary,PG,2020,1h 28min
Far From Raven's Home,4.8,"Animation, Comedy",G,2021,11min
Kingdom of the Apes: Battle Lines,N/A,Documentary,PG,2014,44min
Great Shark Chow Down,5.7,Documentary,PG,2019,44min
Riina: le verità nascoste,N/A,Documentary,N/A,2018,45min
Man vs. Shark,6.2,Documentary,PG,2019,44min
Black Pharaohs: Empire of Gold,N/A,"Documentary, History",PG,2018,1h 0min
Disney Channel Holiday House Party,4.6,Comedy,G,2020,25min
Buried Secrets of Keros,6.2,Documentary,N/A,2020,44min
Genoa Bridge Disaster,6.4,Documentary,N/A,2019,59min
Shark vs. Surfer,6.1,Documentary,N/A,2020,44min
Sauver Notre-Dame,6.7,"History, Documentary",N/A,2020,44min
LEGO Start Wars: The New Yoda Chronicles: Duel of the Skywalkers,N/A,Fantasy,N/A,2014,22min
Dancing With The Stars: The Pros' Most Memorable Moments,N/A,Documentary,N/A,2022,55min
Life and Death in Paradise: Crocs of the Caribbean,N/A,"Documentary, Kids & Family",N/A,2020,44min
Heroes of the Sky: The Mighty Eighth Air Force,N/A,"Documentary, History",N/A,2020,1h 28min
