Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Eternals,"Science-Fiction, Action & Adventure, Fantasy, Drama",6.3,PG-13,2h 36min,Chloé Zhao,2021
West Side Story,"Drama, Crime, Romance",7.2,PG-13,2h 37min,Steven Spielberg,2021
Brahmāstra Part One: Shiva,"Action & Adventure, Fantasy, Science-Fiction",5.5,PG-13,2h 48min,Ayan Mukerji,2022
Avengers: Age of Ultron,"Science-Fiction, Action & Adventure, Comedy",7.3,PG-13,2h 22min,Jesús Zavala,2015
Live in Front of a Studio Audience: The Facts of Life and Diff'rent Strokes,Comedy,7.8,PG,1h 1min,James Burrows,2021
Magnum Opus,Comedy,N/A,PG,5min,Kirsten Lepore,2022
Encanto,"Animation, Fantasy, Comedy, Kids & Family, Drama",7.2,PG,1h 42min,Byron Howard,2021
Luca,"Comedy, Animation, Kids & Family, Fantasy",7.5,PG,1h 35min,Enrico Casarosa,2021
Diary of a Wimpy Kid,"Animation, Comedy, Kids & Family, Drama, Fantasy",5.1,PG,58min,Swinton O. Scott III,2021
Star Wars: The Rise of Skywalker,"Science-Fiction, Action & Adventure, Drama, Fantasy, Made in Europe",6.5,PG-13,2h 22min,J.J. Abrams,2019
Maggie Simpson in The Force Awakens from Its Nap,"Science-Fiction, Kids & Family, Animation, Comedy",6.2,PG,3min,David Silverman,2021
Sea of Shadows,"Documentary, Crime, History, Made in Europe",7.3,PG-13,1h 46min,Richard Ladkani,2019
The Finest Hours,"Drama, Mystery & Thriller, Action & Adventure, History",6.7,PG-13,1h 57min,Craig Gillespie,2016
A Fan's Guide to Ms. Marvel,Documentary,N/A,PG,5min,N/A,2022
Marvel Studios' 2021 Disney+ Day Special,Documentary,N/A,PG,14min,N/A,2021
Ferdinand,"Animation, Kids & Family, Action & Adventure, Comedy, Drama, Fantasy",6.7,PG,1h 46min,Carlos Saldanha,2017
The Lion King,"Drama, Kids & Family, Comedy, Animation",6.8,PG,1h 58min,Jon Favreau,2019
Ciao Alberto,"Kids & Family, Fantasy, Animation, Comedy",N/A,PG,7min,McKenna Jean Harris,2021
Brian and the Boz,Documentary,N/A,N/A,1h 17min,Thaddeus D. Matula,2014
Toy Story of Terror!,"Action & Adventure, Animation, Comedy, Kids & Family, Horror, Fantasy",7.5,G,22min,Angus MacLane,2013
Big Hero 6,"Comedy, Kids & Family, Science-Fiction, Drama, Animation, Action & Adventure",7.8,PG,1h 42min,Don Hall,2014
Toy Story That Time Forgot,"Animation, Comedy, Kids & Family, Fantasy",7.1,G,22min,Steve Purcell,2014
Rise,"Drama, Sport",7.0,PG,1h 53min,Akin Omotoso,2022
Thor: The Dark World,"Action & Adventure, Fantasy, Science-Fiction",6.8,PG-13,1h 52min,Alan Taylor,2013
Star Wars: Galaxy's Edge - Adventure Awaits,Documentary,5.7,N/A,1h 21min,Christian Lamb,2019
Moana,"Comedy, Kids & Family, Fantasy, Animation",7.6,PG,1h 43min,Ron Clements,2016
Fantastic Lies,"History, Documentary",N/A,N/A,1h 43min,Marina Zenovich,2016
Muppets Haunted Mansion,"Comedy, Kids & Family, Fantasy",6.3,PG,52min,Kirk R. Thatcher,2021
Pirates of the Caribbean: Dead Men Tell No Tales,"Action & Adventure, Fantasy",6.5,PG-13,2h 15min,Espen Sandberg,2017
A Wrinkle in Time,"Fantasy, Science-Fiction, Kids & Family",4.2,PG,1h 49min,Ava DuVernay,2018
Clouds,"Drama, Music & Musical",7.5,PG-13,2h 1min,Justin Baldoni,2020
Marvel Studios Assembled: The Making of Moon Knight,Documentary,N/A,PG-13,1h 7min,Brad Baruh,2022
Four Falls of Buffalo,Documentary,N/A,N/A,1h 42min,Ken Rodgers,2015
Descendants,"Kids & Family, Music & Musical, Action & Adventure, Comedy, Fantasy",6.3,G,1h 52min,Kenny Ortega,2015
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, Music & Musical, History",8.0,PG-13,1h 57min,Questlove,2021
22 vs. Earth,"Fantasy, Animation",N/A,G,9min,Kevin Nolting,2021
The Simpsons: When Billie Met Lisa,Animation,N/A,G,4min,David Silverman,2022
Trevor: The Musical,Drama,5.8,N/A,1h 53min,Robin Mishkin Abrams,2022
Captain America: Civil War,"Science-Fiction, Action & Adventure",7.8,PG-13,2h 26min,Anthony Russo,2016
Godmothered,"Comedy, Drama, Kids & Family, Fantasy",6.1,PG,1h 50min,Sharon Maguire,2020
Pentatonix: Around the World for the Holidays,"Documentary, Music & Musical, Kids & Family, Reality TV",5.0,N/A,49min,Sam Wrench,2022
Stuntman,Documentary,6.6,PG-13,1h 27min,Kurt Mattila,2018
Timmy Failure: Mistakes Were Made,"Kids & Family, Mystery & Thriller, Comedy, Fantasy, Drama",6.0,PG,1h 39min,Tom McCarthy,2020
The Flagmakers,Documentary,7.5,N/A,35min,Sharon Liese,2022
